Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682724372.0160496,0,0,0.0,29.8
1682724377.546848,0,0,0.0,29.4
1682724382.8997896,0,0,0.0,36.4
1682724388.257217,0,0,0.0,35.6
1682724393.652365,0,0,0.0,34.2
1682724399.052626,0,0,0.0,35.8
1682724404.4316714,0,0,0.0,30.6
1682724409.8465624,0,0,0.0,33.8
1682724415.2846823,0,0,0.0,34.0
1682724420.6843383,0,0,0.0,30.6
1682724426.115168,0,0,0.0,30.2
1682724431.5381362,0,0,0.0,33.2
1682724437.047838,0,0,0.0,33.2
1682724442.5683963,0,0,0.0,36.0
1682724448.0545933,0,0,0.0,33.2
1682724453.5068226,0,0,0.0,34.6
1682724458.9752245,0,0,2.0,31.2
1682724464.5003164,0,0,1.0,33.4
1682724470.0159376,0,0,1.0,31.0
1682724475.5483456,0,0,1.5,35.4
1682724481.0663438,0,0,1.0,34.0
1682724486.584204,0,0,1.0,33.2
1682724492.1329885,0,0,2.0,33.4
1682724497.6826286,0,0,2.0,30.4
1682724503.219608,0,0,2.0,31.8
1682724508.7785306,0,0,2.0,32.6
1682724514.3305483,0,0,1.0,32.6
1682724519.9439974,0,0,1.0,29.4
1682724525.479498,0,0,1.0,32.2
1682724531.051101,0,0,1.0,32.0
1682724536.64177,0,0,0.0,33.6
1682724542.245922,0,0,0.5,32.6
1682724547.8466136,0,0,0.0,32.6
1682724553.4366972,0,0,0.5,28.4
1682724559.02119,0,0,0.0,29.8
1682724564.6159096,0,0,0.5,36.8
1682724570.2804554,0,0,1.0,35.2
1682724575.990719,0,0,0.0,28.8
1682724581.6519349,0,0,0.0,27.6
1682724587.3288736,0,0,0.0,34.4
1682724592.9757984,0,0,0.0,35.0
1682724598.7145936,0,0,0.0,32.6
1682724604.407479,0,0,0.0,35.2
1682724610.1359224,0,0,0.0,32.2
1682724615.8093066,0,0,0.0,34.6
1682724621.5065274,0,0,0.0,32.2
1682724627.2296543,0,0,0.0,37.0
1682724632.904343,0,0,0.0,32.4
1682724638.6262045,0,0,0.0,31.2
1682724644.3687484,0,0,1.0,31.2
1682724650.0953784,0,0,0.0,30.4
1682724655.8636312,0,0,1.0,35.4
1682724661.5875864,0,0,1.0,34.6
1682724667.3385212,0,0,1.0,34.4
1682724673.1331367,0,0,0.0,30.6
1682724678.8883893,0,0,1.0,33.8
1682724684.6967568,0,0,2.0,32.4
1682724690.4940763,0,0,2.0,38.6
1682724696.3621116,0,0,2.0,31.8
1682724702.1561902,0,0,1.5,33.0
1682724708.0048418,0,0,0.0,36.6
1682724713.8579655,0,0,1.0,32.2
1682724719.67046,0,0,1.0,33.8
1682724725.5087261,0,0,1.0,31.4
1682724731.3514838,0,0,1.0,38.0
1682724737.1830864,0,0,1.0,36.6
1682724743.0938923,0,0,0.0,32.0
1682724749.100779,0,0,0.0,35.0
1682724755.0069218,0,0,0.0,34.6
1682724760.9208336,0,0,0.0,33.2
1682724766.8148224,0,0,0.0,36.0
1682724772.8005936,0,0,0.0,36.2
1682724778.842057,0,0,0.0,30.8
1682724784.786165,0,0,0.0,31.2
1682724790.852109,0,0,0.0,35.8
1682724796.7556946,0,0,0.0,27.0
1682724802.76325,0,0,0.0,30.8
1682724808.715321,0,0,0.0,31.2
1682724814.6850674,0,0,0.0,33.8
1682724820.756697,0,0,0.0,35.0
1682724826.8290224,0,0,0.0,32.0
1682724832.8608878,0,0,0.0,31.0
1682724838.916951,0,0,0.0,32.0
1682724844.9157162,0,0,0.0,36.8
1682724850.9058275,0,0,0.0,36.0
1682724856.9227939,0,0,0.0,34.6
1682724862.9219081,0,0,0.0,37.4
1682724869.1580007,0,0,0.0,37.8
1682724875.1951969,0,0,0.0,34.6
1682724881.2604532,0,0,0.0,39.6
1682724887.3458538,0,0,0.0,30.0
1682724893.5487125,0,0,0.0,29.4
1682724899.7808225,0,0,0.0,35.8
1682724905.8821468,0,0,1.0,32.8
1682724911.9437582,0,0,1.0,31.4
1682724918.0240386,0,0,1.0,33.6
1682724924.1028335,0,0,1.0,31.8
1682724930.244428,0,0,1.0,32.0
1682724936.3313878,0,0,1.0,36.2
