Counts in Interval,Time Period
0,2023-03-24 16:18:03.741958  to  2023-03-24 16:18:14.766288
0,2023-03-24 16:18:14.766455  to  2023-03-24 16:18:25.780754
0,2023-03-24 16:18:25.780987  to  2023-03-24 16:18:36.795491
0,2023-03-24 16:18:36.795657  to  2023-03-24 16:18:47.810110
0,2023-03-24 16:18:47.810284  to  2023-03-24 16:18:58.824719
0,2023-03-24 16:18:58.824946  to  2023-03-24 16:19:09.839289
0,2023-03-24 16:19:09.839459  to  2023-03-24 16:19:20.853723
0,2023-03-24 16:19:20.853962  to  2023-03-24 16:19:31.868481
0,2023-03-24 16:19:31.868648  to  2023-03-24 16:19:42.883075
0,2023-03-24 16:19:42.883290  to  2023-03-24 16:19:53.897695
0,2023-03-24 16:19:53.897905  to  2023-03-24 16:20:04.912189
0,2023-03-24 16:20:04.912358  to  2023-03-24 16:20:15.926752
2,2023-03-24 16:20:15.926922  to  2023-03-24 16:20:26.160582
